//2¹øÂ°·£´ý										
//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//2_1A										
m	71	576	0	0	0	0	1s	100	1	10808
m	71	669	0	0	0	0	1s	100	1	10831
m	133	667	0	0	0	0	1s	100	1	10835
//2_2A										
m	184	566	0	0	0	0	1s	100	1	10813
m	300	567	0	0	0	0	1s	100	1	10823
m	281	636	0	0	0	0	1s	100	1	10832
m	184	566	0	0	0	0	1s	100	1	10835
//2_3A										
m	347	551	0	0	0	0	1s	100	1	10801
m	400	556	0	0	0	0	1s	100	1	10811
//2_4A										
m	68	817	0	0	0	0	1s	100	1	10809
m	141	823	0	0	0	0	1s	100	1	10811
m	187	712	0	0	0	0	1s	100	1	10802
//2_5A										
m	274	711	0	0	0	0	1s	100	1	10812
m	227	777	0	0	0	0	1s	100	1	10824
m	327	777	0	0	0	0	1s	100	1	10835
m	275	841	0	0	0	0	1s	100	1	10829
//2_6A										
m	351	717	0	0	0	0	1s	100	1	10803
//m	419	711	0	0	0	0	1s	100	1	10811
m	363	777	0	0	0	0	1s	100	1	10815
m	348	839	0	0	0	0	1s	100	1	10825
m	365	807	0	0	0	0	1s	100	1	10834
m	429	841	0	0	0	0	1s	100	1	10805
//2_7A										
m	94	835	0	0	0	0	1s	100	1	10816
m	53	864	0	0	0	0	1s	100	1	10830
m	142	865	0	0	0	0	1s	100	1	10833
m	51	921	0	0	0	0	1s	100	1	10809
m	89	950	0	0	0	0	1s	100	1	10802
m	143	918	0	0	0	0	1s	100	1	10822
//2_8A										
m	194	860	0	0	0	0	1s	100	1	10826
m	245	853	0	0	0	0	1s	100	1	10832
//2_9A										
m	314	853	0	0	0	0	1s	100	1	10829
m	362	894	0	0	0	0	1s	100	1	10801
m	406	873	0	0	0	0	1s	100	1	10815
m	435	935	0	0	0	0	1s	100	1	10827
m	179	667	0	0	0	0	1s	100	1	10835

